BeginDate,LoadMw
2025-04-05T00:00:00.000-04:00,9780
2025-04-05T01:00:00.000-04:00,9470
2025-04-05T02:00:00.000-04:00,9230
2025-04-05T03:00:00.000-04:00,9150
2025-04-05T04:00:00.000-04:00,9470
2025-04-05T05:00:00.000-04:00,9880
2025-04-05T06:00:00.000-04:00,10570
2025-04-05T07:00:00.000-04:00,11170
2025-04-05T08:00:00.000-04:00,11450
2025-04-05T09:00:00.000-04:00,11800
2025-04-05T10:00:00.000-04:00,12160
2025-04-05T11:00:00.000-04:00,11790
2025-04-05T12:00:00.000-04:00,11760
2025-04-05T13:00:00.000-04:00,12020
2025-04-05T14:00:00.000-04:00,12010
2025-04-05T15:00:00.000-04:00,12230
2025-04-05T16:00:00.000-04:00,12540
2025-04-05T17:00:00.000-04:00,12830
2025-04-05T18:00:00.000-04:00,13450
2025-04-05T19:00:00.000-04:00,13650
2025-04-05T20:00:00.000-04:00,13310
2025-04-05T21:00:00.000-04:00,12720
2025-04-05T22:00:00.000-04:00,11990
2025-04-05T23:00:00.000-04:00,11220
2025-04-06T00:00:00.000-04:00,10520
2025-04-06T01:00:00.000-04:00,10030
2025-04-06T02:00:00.000-04:00,9740
2025-04-06T03:00:00.000-04:00,9610
2025-04-06T04:00:00.000-04:00,9640
2025-04-06T05:00:00.000-04:00,9880
2025-04-06T06:00:00.000-04:00,10390
2025-04-06T07:00:00.000-04:00,10890
2025-04-06T08:00:00.000-04:00,11330
2025-04-06T09:00:00.000-04:00,11640
2025-04-06T10:00:00.000-04:00,11640
2025-04-06T11:00:00.000-04:00,11480
2025-04-06T12:00:00.000-04:00,11270
2025-04-06T13:00:00.000-04:00,10860
2025-04-06T14:00:00.000-04:00,10750
2025-04-06T15:00:00.000-04:00,10980
2025-04-06T16:00:00.000-04:00,11550
2025-04-06T17:00:00.000-04:00,12440
2025-04-06T18:00:00.000-04:00,13000
2025-04-06T19:00:00.000-04:00,13330
2025-04-06T20:00:00.000-04:00,13170
2025-04-06T21:00:00.000-04:00,12470
2025-04-06T22:00:00.000-04:00,11520
2025-04-06T23:00:00.000-04:00,10710
