BeginDate,Total_Predicted,HydroPredictions,NuclearPredictions,WindPredictions,SolarPredictions,RefusePredictions,WoodPredictions
2025-05-01 12:00:00,9530,1097.2739,2114.3467,283.33633,714.2308,179.08676,93.06104
2025-05-01 14:00:00,9130,1064.4307,2114.0972,238.80428,683.2613,182.79706,95.648094
2025-05-01 15:00:00,8900,1031.101,2113.9836,164.67404,589.0008,193.91565,99.5926
2025-05-01 16:00:00,8870,1040.3562,2113.6008,166.0187,456.76395,189.75623,98.6194
2025-05-01 17:00:00,9130,1105.7947,2113.5073,76.16379,269.9891,195.95178,107.34804
2025-05-01 18:00:00,9890,1296.7292,2114.0205,114.05292,6.9789076,194.22333,99.51346
2025-05-01 19:00:00,10690,1414.4205,2113.7324,556.8634,1.5084,215.43106,155.84366
2025-05-01 20:00:00,10590,1521.2668,2112.9822,718.2034,1.4443704,225.73834,154.02878
2025-05-01 21:00:00,9450,1048.0952,2114.179,485.16983,2.2756033,219.48007,162.21649
2025-05-01 22:00:00,8260,993.5437,2114.4104,503.58847,14.722099,220.47845,153.79236
2025-05-01 23:00:00,7330,913.84924,2114.3518,291.0975,15.3072405,243.17838,146.00299
2025-05-02 00:00:00,6940,957.66565,2133.6958,244.82747,14.592496,254.13379,142.68872
2025-05-02 01:00:00,6840,933.2167,2132.9175,181.02153,2.7124088,238.96033,146.66281
2025-05-02 02:00:00,6970,905.5912,2123.98,187.05754,1.1395109,235.04913,155.8754
2025-05-02 03:00:00,7390,893.8313,2122.108,188.79315,1.5741388,248.77809,140.1615
2025-05-02 04:00:00,8300,902.4164,2114.0027,443.33017,1.7347677,244.97156,133.64914
2025-05-02 05:00:00,9630,1004.12067,2113.3276,725.2197,2.0102296,251.89948,140.16165
2025-05-02 06:00:00,11080,1284.1982,2112.8057,595.0735,61.473656,251.7792,142.34058
2025-05-02 07:00:00,12320,1585.5063,2112.7527,328.9957,184.38736,225.85962,141.2905
2025-05-02 08:00:00,12810,1670.6077,2112.773,294.71765,227.72026,222.30641,141.44197
2025-05-02 09:00:00,12900,1442.817,2112.544,324.2064,373.8386,226.01012,137.76193
2025-05-02 10:00:00,12150,954.0943,2112.6172,213.90262,525.0413,220.39902,140.59607
2025-05-02 11:00:00,11010,960.62463,2113.224,214.49435,550.70416,215.81244,140.33823
2025-05-02 12:00:00,10060,899.2956,2113.3694,131.61807,495.3355,218.43042,139.18307
2025-05-02 13:00:00,9580,900.9397,2113.542,124.64894,422.69058,228.79999,131.27194
2025-05-02 14:00:00,9130,919.71985,2114.0972,113.57601,383.6,224.43767,140.0149
2025-05-02 15:00:00,8990,919.4859,2114.1477,125.809875,236.34743,234.1399,138.93262
2025-05-02 16:00:00,8930,1121.8226,2113.5793,238.88515,160.7898,249.89175,112.61288
2025-05-02 17:00:00,9150,1148.6904,2113.1072,439.94778,55.618576,255.75092,142.1495
2025-05-02 18:00:00,9900,1292.5657,2113.2305,557.5013,15.949008,236.0762,142.58481
2025-05-02 19:00:00,10960,1364.7485,2112.6523,702.53467,1.5560974,225.01599,148.32901
2025-05-02 20:00:00,11720,1406.178,2113.1653,598.8336,1.9753689,227.24818,167.60483
2025-05-02 21:00:00,11770,1279.2343,2112.9504,700.5709,2.50404,251.70444,163.72842
2025-05-02 22:00:00,11260,1273.3213,2113.5273,852.19995,8.065361,256.25854,178.16972
2025-05-02 23:00:00,10690,1254.2634,2113.7324,869.4236,2.277607,248.95764,171.56412
2025-05-03 00:00:00,10140,1245.2797,2113.3406,865.583,1.7107865,250.81325,178.09329
2025-05-03 01:00:00,9610,1058.3599,2113.3347,882.7881,1.6547737,249.2572,173.64697
2025-05-03 02:00:00,9420,1057.1584,2113.5996,852.73364,1.4779613,246.52101,165.62672
2025-05-03 03:00:00,9490,1054.1757,2113.771,846.65607,1.0867459,247.72652,166.86191
2025-05-03 04:00:00,9880,1096.6404,2113.6309,827.40186,0.5944017,244.60243,147.20909
2025-05-03 05:00:00,10850,1544.3712,2112.8884,844.4408,1.350358,278.49948,157.83408
2025-05-03 06:00:00,11930,1415.5654,2112.4995,765.0821,32.822525,254.34161,164.75432
2025-05-03 07:00:00,12780,1729.9163,2112.3904,528.1898,64.96218,287.5095,161.10953
2025-05-03 08:00:00,13050,1333.9109,2112.0967,547.80383,92.58337,260.73306,158.6228
2025-05-03 09:00:00,13100,1302.7363,2112.2751,623.56836,165.64172,256.1867,149.09726
2025-05-03 10:00:00,12530,1254.6147,2112.2837,577.77136,202.47456,256.09644,151.22379
2025-05-03 11:00:00,11540,1101.3975,2112.8367,579.82855,319.8833,249.90964,145.33698
2025-05-03 12:00:00,10620,950.1002,2113.3643,577.0397,453.63266,230.95033,140.98225
