BeginDate,Total_Predicted,HydroPredictions,NuclearPredictions,WindPredictions,SolarPredictions,RefusePredictions,WoodPredictions
2025-05-01 00:04:09+00:00,8545.0,988.0,2114.0,556.0,3.0,259.0,211.0
2025-05-01 00:11:16+00:00,8427.0,1025.0,2114.0,556.0,3.0,256.0,215.0
2025-05-01 00:21:24+00:00,8333.0,1000.0,2114.0,532.0,3.0,248.0,213.0
2025-05-01 00:26:07+00:00,8356.0,1001.0,2117.0,526.0,3.0,250.0,212.0
2025-05-01 00:34:49+00:00,8327.0,971.0,2115.0,595.0,3.0,249.0,214.0
2025-05-01 00:46:50+00:00,8220.0,971.0,2115.0,583.0,3.0,251.0,211.0
2025-05-01 00:54:13+00:00,8128.0,972.0,2114.0,563.0,3.0,252.0,213.0
2025-05-01 01:00:10+00:00,8175.0,970.0,2113.0,575.0,3.0,254.0,213.0
2025-05-01 01:08:12+00:00,8162.0,972.0,2113.0,604.0,3.0,256.0,213.0
2025-05-01 01:13:06+00:00,8185.0,973.0,2116.0,621.0,3.0,263.0,212.0
2025-05-01 01:24:16+00:00,8110.0,970.0,2113.0,581.0,3.0,260.0,213.0
2025-05-01 01:28:56+00:00,8083.0,969.0,2113.0,578.0,3.0,258.0,214.0
2025-05-01 01:36:43+00:00,8074.0,970.0,2114.0,593.0,3.0,254.0,215.0
2025-05-01 01:43:01+00:00,8090.0,972.0,2115.0,611.0,3.0,252.0,213.0
2025-05-01 01:49:29+00:00,8046.0,970.0,2115.0,618.0,3.0,258.0,215.0
2025-05-01 01:55:18+00:00,7989.0,969.0,2114.0,617.0,3.0,255.0,213.0
2025-05-01 02:05:38+00:00,7966.0,957.0,2115.0,627.0,3.0,256.0,214.0
2025-05-01 02:11:45+00:00,7983.0,956.0,2115.0,654.0,3.0,251.0,212.0
2025-05-01 02:24:12+00:00,8038.0,954.0,2114.0,618.0,3.0,253.0,213.0
2025-05-01 02:29:28+00:00,7977.0,952.0,2116.0,626.0,3.0,252.0,214.0
2025-05-01 02:34:27+00:00,8025.0,955.0,2113.0,618.0,3.0,257.0,206.0
2025-05-01 02:39:09+00:00,7987.0,954.0,2115.0,607.0,3.0,251.0,204.0
2025-05-01 02:45:08+00:00,7995.0,954.0,2115.0,612.0,3.0,249.0,205.0
2025-05-01 02:54:09+00:00,8031.0,956.0,2116.0,597.0,3.0,251.0,201.0
2025-05-01 03:01:40+00:00,8063.0,954.0,2115.0,564.0,3.0,258.0,211.0
2025-05-01 03:10:18+00:00,8157.0,992.0,2114.0,559.0,3.0,251.0,210.0
2025-05-01 03:18:11+00:00,8199.0,989.0,2115.0,576.0,3.0,249.0,209.0
2025-05-01 03:27:06+00:00,8203.0,991.0,2113.0,563.0,3.0,249.0,211.0
2025-05-01 03:35:57+00:00,8331.0,994.0,2115.0,547.0,3.0,255.0,214.0
2025-05-01 03:43:49+00:00,8451.0,992.0,2116.0,553.0,3.0,261.0,212.0
2025-05-01 03:51:41+00:00,8560.0,949.0,2114.0,583.0,3.0,255.0,216.0
2025-05-01 03:58:47+00:00,8542.0,951.0,2115.0,593.0,3.0,260.0,215.0
2025-05-01 04:10:07+00:00,8609.0,952.0,2115.0,568.0,3.0,252.0,214.0
2025-05-01 04:17:54+00:00,8797.0,952.0,2113.0,560.0,3.0,257.0,212.0
2025-05-01 04:26:38+00:00,8966.0,991.0,2114.0,585.0,3.0,259.0,208.0
2025-05-01 04:34:30+00:00,8751.0,999.0,2114.0,563.0,3.0,246.0,213.0
2025-05-01 04:45:21+00:00,8898.0,998.0,2116.0,533.0,5.0,252.0,213.0
2025-05-01 04:50:46+00:00,8858.0,993.0,2114.0,527.0,9.0,256.0,214.0
2025-05-01 04:53:42+00:00,9018.0,1227.0,2114.0,517.0,12.0,252.0,215.0
2025-05-01 05:03:50+00:00,9283.0,1690.0,2113.0,505.0,19.0,253.0,214.0
2025-05-01 05:10:40+00:00,9227.0,1705.0,2114.0,471.0,40.0,248.0,209.0
2025-05-01 05:18:47+00:00,9553.0,1789.0,2114.0,459.0,54.0,240.0,213.0
2025-05-01 05:19:00+00:00,9553.0,1789.0,2114.0,459.0,54.0,240.0,213.0
2025-05-01 05:27:47+00:00,9574.0,1741.0,2114.0,441.0,68.0,245.0,212.0
2025-05-01 05:34:48+00:00,9544.0,1698.0,2113.0,424.0,92.0,249.0,212.0
2025-05-01 05:42:45+00:00,9585.0,1700.0,2114.0,401.0,119.0,255.0,216.0
2025-05-01 05:51:07+00:00,9599.0,1702.0,2115.0,391.0,126.0,259.0,215.0
2025-05-01 05:59:19+00:00,9697.0,1790.0,2113.0,356.0,153.0,254.0,214.0
2025-05-01 06:07:12+00:00,9531.0,1666.0,2115.0,325.0,187.0,252.0,214.0
2025-05-01 06:10:15+00:00,9509.0,1655.0,2114.0,307.0,179.0,257.0,212.0
2025-05-01 06:11:25+00:00,9509.0,1655.0,2114.0,307.0,179.0,257.0,212.0
2025-05-01 06:19:54+00:00,9605.0,1648.0,2112.0,291.0,222.0,260.0,212.0
2025-05-01 06:25:44+00:00,9584.0,1660.0,2113.0,271.0,248.0,254.0,209.0
2025-05-01 06:28:40+00:00,9446.0,1541.0,2114.0,260.0,298.0,258.0,211.0
2025-05-01 06:32:00+00:00,9324.0,1540.0,2114.0,243.0,307.0,261.0,210.0
2025-05-01 06:40:26+00:00,9108.0,1537.0,2112.0,241.0,274.0,255.0,212.0
2025-05-01 06:46:12+00:00,9102.0,1534.0,2112.0,231.0,330.0,252.0,212.0
2025-05-01 06:56:17+00:00,8778.0,1536.0,2113.0,222.0,378.0,239.0,213.0
2025-05-01 06:57:05+00:00,8782.0,1536.0,2113.0,228.0,380.0,243.0,214.0
2025-05-01 07:00:54+00:00,8696.0,1402.0,2114.0,222.0,367.0,254.0,212.0
2025-05-01 07:07:22+00:00,8887.0,1330.0,2114.0,220.0,434.0,248.0,212.0
2025-05-01 07:16:57+00:00,8675.0,1110.0,2113.0,205.0,503.0,248.0,214.0
2025-05-01 07:23:04+00:00,8513.0,1112.0,2114.0,195.0,540.0,248.0,206.0
2025-05-01 07:32:30+00:00,8305.0,990.0,2114.0,171.0,520.0,246.0,212.0
2025-05-01 07:34:40+00:00,8320.0,988.0,2116.0,181.0,533.0,252.0,214.0
2025-05-01 07:40:07+00:00,8200.0,990.0,2114.0,179.0,579.0,250.0,216.0
2025-05-01 07:44:11+00:00,8183.0,1008.0,2115.0,181.0,606.0,244.0,213.0
2025-05-01 07:45:23+00:00,8183.0,1008.0,2115.0,181.0,606.0,244.0,213.0
